image_path,filename,category,breed,class_idx,Chhattisgarhi,Gir,Jaffarabadi,Jersey cattle,Kankrej,marathwada,Red_Sindhi,Sahiwal,surti,toda
dataset/Buffalo/Chhattisgarhi/African_buffalo_or_Cape_buffalo_.jpg,African_buffalo_or_Cape_buffalo_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Asian_Buffalo_Having_Rest_Stock_Photo_.jpg,Asian_Buffalo_Having_Rest_Stock_Photo_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Buffalo_Farming_in_Raipur_Chhattisgarh_.jpg,Buffalo_Farming_in_Raipur_Chhattisgarh_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Buffalo_fight_with_lions_group_for_save_.jpg,Buffalo_fight_with_lions_group_for_save_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/CG_News_.jpg,CG_News_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Captive_breeding_centre_for_wild_water_.jpeg,Captive_breeding_centre_for_wild_water_.jpeg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Chhattisgarh_Five_wild_buffaloes_to_be_.jpg,Chhattisgarh_Five_wild_buffaloes_to_be_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Chhattisgarh_State_.jpg,Chhattisgarh_State_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Chhattisgarh_State_Animal_Pushp_Jain.jpg,Chhattisgarh_State_Animal_Pushp_Jain.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Chhattisgarh_Wild_Buffalo_.jpg,Chhattisgarh_Wild_Buffalo_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Conservation_of_Wild_Buffaloes_.jpg,Conservation_of_Wild_Buffaloes_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Fate_of_Wild_Water_Buffaloes_now_.jpg,Fate_of_Wild_Water_Buffaloes_now_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/ICAR-NDRI_Clones_Endangered_Wild_.jpg,ICAR-NDRI_Clones_Endangered_Wild_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Manah_Buffalo_Assams_Dual-Power_Breed_.jpg,Manah_Buffalo_Assams_Dual-Power_Breed_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/PDF_Multivariate_analysis_of_biometric_.jpg,PDF_Multivariate_analysis_of_biometric_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Photo_Gallery_Chhattisgarh_Tourism_Board.jpg,Photo_Gallery_Chhattisgarh_Tourism_Board.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Raitu_Agro_Farms.jpg,Raitu_Agro_Farms.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Top_Buffalo_Calf_Wholesalers_in_Raigarh_.jpg,Top_Buffalo_Calf_Wholesalers_in_Raigarh_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Top_Murrah_Buffalo_Distributors_in_ (1).jpg,Top_Murrah_Buffalo_Distributors_in_ (1).jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Top_Murrah_Buffalo_Distributors_in_.jpg,Top_Murrah_Buffalo_Distributors_in_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
dataset/Buffalo/Chhattisgarhi/Van_Bhainsa_or_Wild_Asian_Buffalo_.jpg,Van_Bhainsa_or_Wild_Asian_Buffalo_.jpg,Buffalo,Chhattisgarhi,0,1,0,0,0,0,0,0,0,0,0
